Flood_ID,ISO,Country,Subregion,Region,Location,River Basin,Start Date,End Date,Duration,Language_ISO_639_3,Local_Languages
202,PER,Peru,Latin America and the Caribbean,Americas,"Pichari and Kimbiri, La Convención Province (Cusco Region); Vizcatán del Ene district, Satipo province in Junín Region","Cuscomayo, San Martín, Santa Fey and Otari",2021-04-20,2021-04-21,1,spa,Spanish
203,USA,United States of America,Northern America,Americas,"Bolivar, Sunflower, Panola, and Tallahatchie Counties (Mississippi State); Arkansas, Texas",,2021-06-07,2021-06-10,3,eng,English
204,CHL,Chile,Latin America and the Caribbean,Americas,"Bio Bío, Araucania, Los Ríos, and Los Lagos region",,2021-06-01,2021-06-02,1,spa,Spanish
205,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,O'Connor Province (Tarija Department),,2022-02-20,2022-02-22,2,spa,Spanish
206,USA,United States of America,Northern America,Americas,Albuquerque (New Mexico); Larimer County (Colorado); Arizona,,2021-07-16,2021-07-21,5,eng,English
207,USA,United States of America,Northern America,Americas,El Paso (Texas); Gila Bend (Arizona),,2021-08-10,2021-08-16,6,eng,English
208,USA,United States of America,Northern America,Americas,"Dickson, Humphrey, and Hickman Counties (Tennessee)",,2021-08-21,2021-08-22,1,eng,English
209,BRA,Brazil,Latin America and the Caribbean,Americas,"Itaberaba, Itamaraju, Porto Seguro, Eunápolis, Prado, Teixeira de Freitas , Jucuruçu, Itagimirim, Medeiros Neto municipalities (Bahia state); Minas Gerais state; Espirito Santo; Tocantins",,2021-11-15,2022-01-16,62,por,Portuguese
210,BRA,Brazil,Latin America and the Caribbean,Americas,Petrópolis City and the Fluminense Mountain Region (Rio de Janeiro State),,2022-03-20,2022-03-22,2,por,Portuguese
211,ECU,Ecuador,Latin America and the Caribbean,Americas,Azuay Province,,2022-03-27,2022-03-28,1,spa,Spanish
212,COL,Colombia,Latin America and the Caribbean,Americas,La Antigua village (Antioquia department),,2022-04-07,2022-04-08,1,spa,Spanish
213,ECU,Ecuador,Latin America and the Caribbean,Americas,"Balao,Quinsaloma, La Maná, Quilanga, Espíndola, Catamayo, Chila, Santa Elena, Camilo Enrique Ponce, Alfredo Baquerizo Moreno, Caluma, Zaruma counties; Cotopaxi, Pichincha,Los Ríos, El Oro provinces",,2022-03-01,2022-04-01,31,spa,Spanish
214,USA,United States of America,Northern America,Americas,North Dakota and northern Minnesota (central-northern USA),,2022-04-01,2022-05-05,34,eng,English
215,CAN,Canada,Northern America,Americas,"Manitoba, northern Alberta and Northwest Territories",,2022-05-30,2022-05-31,1,"eng, fra","English, French"
216,BRA,Brazil,Latin America and the Caribbean,Americas,"Pernambuco, Alagoas and Paraíba states; Olinda, Jaboatão dos Guararapes, São José da Coroa Grande (greater Ricefe region)","Negro, Amazon, Jurua, Purus, Madeira and Solimões Rivers",2022-05-24,2022-05-30,6,por,Portuguese
217,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,"Táchira, Lara, Carabobo, Miranda, and Mérida",,2022-09-22,2022-09-30,8,spa,Spanish
218,HND,Honduras,Latin America and the Caribbean,Americas,"Santa Bárbara, Copàn, Cortés, Olancho, Colón, Yoro, Paraíso, Ocotepeque, Lempira, Intibucá, Comayagua, La Paz, Francisco Morazán, Valle, and Choluteca Departments",Ulùa River,2022-07-02,2022-09-28,88,spa,Spanish
219,BRA,Brazil,Latin America and the Caribbean,Americas,"Carapebus and Conceição de Macabu (Rio de Janeiro State); Santa Catarina state; Paranà State; Espirito Santo State, Curitiba, Bahia",Doce River,2022-11-29,2022-12-04,5,por,Portuguese
220,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Guanay, Mapiri, Chuquisaca, Tipuani municipalities (La Paz); Santa Cruz, Cochabamba, Potosi, Beni Departments","Mapiri, and Guanay Rivers",2023-01-01,2023-03-16,74,spa,Spanish
221,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Azua, Barahona, Bahoruco, Dajabón, Elías Piña, Espaillat, Independencia, La Vega, Pedernales, Santiago, and Santiago Rodríguez",,2023-06-02,2023-06-09,7,spa,Spanish
222,BRA,Brazil,Latin America and the Caribbean,Americas,Bandeirantes (Paraná state),,2023-03-05,2023-03-06,1,por,Portuguese
223,BRA,Brazil,Latin America and the Caribbean,Americas,"Brasileia, Assis Brasil, Xapuri, Rio Branco, Epitaciolândia Municipalities (Acre); Manaus Municipality (Amazonas)",,2023-03-24,2023-03-27,3,por,Portuguese
224,BRA,Brazil,Latin America and the Caribbean,Americas,"Aratuba, Guaramiranga, Itapipoca, Missão Velha, Uruburetama, Altaneira, Antonina do Norte and Itapaje (Ceará state)",,2023-03-29,2023-03-29,0,por,Portuguese
225,BRA,Brazil,Latin America and the Caribbean,Americas,Maranhão,,2023-03-20,2023-03-21,1,por,Portuguese
226,ARG,Argentina,Latin America and the Caribbean,Americas,"Quilmes (Buenos Aires); Santa Fe, Córdoba, Entre Ríos, Neuquen",,2023-05-29,2023-07-05,37,spa,Spanish
227,BRA,Brazil,Latin America and the Caribbean,Americas,"Matriz de Camaragibe, Marechal Deodoro, São Miguel dos Milagres, União dos Palmares, Rio Largo, Atalaia, Cajueiro, Murici, and Jacuípe (Alagoas); Pernambuco",,2023-07-10,2023-07-14,4,por,Portuguese
